,Date,Province_State,Days,Growth Rate,New cases,Total cases
128,2020-01-24,Georgia,2,0.0,0,0
129,2020-01-24,Grand Princess,2,0.0,0,0
130,2020-01-24,Guam,2,0.0,0,0
131,2020-01-24,Hawaii,2,0.0,0,0
132,2020-01-24,Idaho,2,0.0,0,0
133,2020-01-24,Illinois,2,0.0,0,0
134,2020-01-24,Indiana,2,0.0,0,0
135,2020-01-24,Iowa,2,0.0,0,0
136,2020-01-24,Kansas,2,0.0,0,0
137,2020-01-24,Kentucky,2,0.0,0,0
138,2020-01-24,Louisiana,2,0.0,0,0
139,2020-01-24,Maine,2,0.0,0,0
140,2020-01-24,Maryland,2,0.0,0,0
141,2020-01-24,Massachusetts,2,0.0,0,0
142,2020-01-24,Michigan,2,0.0,0,0
143,2020-01-24,Minnesota,2,0.0,0,0
144,2020-01-24,Mississippi,2,0.0,0,0
145,2020-01-24,Missouri,2,0.0,0,0
146,2020-01-24,Montana,2,0.0,0,0
147,2020-01-24,Nebraska,2,0.0,0,0
148,2020-01-24,Nevada,2,0.0,0,0
149,2020-01-24,New Hampshire,2,0.0,0,0
150,2020-01-24,New Jersey,2,0.0,0,0
151,2020-01-24,New Mexico,2,0.0,0,0
152,2020-01-24,New York,2,0.0,0,0
153,2020-01-24,North Carolina,2,0.0,0,0
154,2020-01-24,North Dakota,2,0.0,0,0
155,2020-01-24,Northern Mariana Islands,2,0.0,0,0
156,2020-01-24,Ohio,2,0.0,0,0
157,2020-01-24,Oklahoma,2,0.0,0,0
158,2020-01-24,Oregon,2,0.0,0,0
159,2020-01-24,Pennsylvania,2,0.0,0,0
160,2020-01-24,Puerto Rico,2,0.0,0,0
161,2020-01-24,Rhode Island,2,0.0,0,0
162,2020-01-24,South Carolina,2,0.0,0,0
163,2020-01-24,South Dakota,2,0.0,0,0
164,2020-01-24,Tennessee,2,0.0,0,0
165,2020-01-24,Texas,2,0.0,0,0
166,2020-01-24,Utah,2,0.0,0,0
167,2020-01-24,Vermont,2,0.0,0,0
168,2020-01-24,Virgin Islands,2,0.0,0,0
169,2020-01-24,Virginia,2,0.0,0,0
170,2020-01-24,Washington,2,0.0,0,0
171,2020-01-24,West Virginia,2,0.0,0,0
172,2020-01-24,Wisconsin,2,0.0,0,0
173,2020-01-24,Wyoming,2,0.0,0,0
174,2020-01-25,Alabama,3,0.0,0,0
175,2020-01-25,Alaska,3,0.0,0,0
176,2020-01-25,American Samoa,3,0.0,0,0
177,2020-01-25,Arizona,3,0.0,0,0
178,2020-01-25,Arkansas,3,0.0,0,0
179,2020-01-25,California,3,0.0,0,0
180,2020-01-25,Colorado,3,0.0,0,0
181,2020-01-25,Connecticut,3,0.0,0,0
182,2020-01-25,Delaware,3,0.0,0,0
183,2020-01-25,Diamond Princess,3,0.0,0,0
184,2020-01-25,District of Columbia,3,0.0,0,0
185,2020-01-25,Florida,3,0.0,0,0
186,2020-01-25,Georgia,3,0.0,0,0
187,2020-01-25,Grand Princess,3,0.0,0,0
188,2020-01-25,Guam,3,0.0,0,0
189,2020-01-25,Hawaii,3,0.0,0,0
190,2020-01-25,Idaho,3,0.0,0,0
191,2020-01-25,Illinois,3,0.0,0,0
