,Date,Province_State,Total cases,Total cases per million,New cases,New cases per million,New cases per week,New cases per week per million,log10(Total cases),log10(New cases per week),Slope of power-law,Acceleration of power-law,Growth Rate,Days since first case,Average Growth Rate,Doubling time
59,2020-01-23,Alaska,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
60,2020-01-23,American Samoa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
61,2020-01-23,Arizona,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
62,2020-01-23,Arkansas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
63,2020-01-23,California,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
64,2020-01-23,Colorado,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
65,2020-01-23,Connecticut,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
66,2020-01-23,Delaware,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
67,2020-01-23,Diamond Princess,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
68,2020-01-23,District of Columbia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
69,2020-01-23,Florida,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
70,2020-01-23,Georgia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
71,2020-01-23,Grand Princess,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
72,2020-01-23,Guam,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
73,2020-01-23,Hawaii,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
74,2020-01-23,Idaho,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
75,2020-01-23,Illinois,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
76,2020-01-23,Indiana,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
77,2020-01-23,Iowa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
78,2020-01-23,Kansas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
79,2020-01-23,Kentucky,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
80,2020-01-23,Louisiana,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
81,2020-01-23,Maine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
82,2020-01-23,Maryland,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
83,2020-01-23,Massachusetts,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
84,2020-01-23,Michigan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
85,2020-01-23,Minnesota,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
86,2020-01-23,Mississippi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
87,2020-01-23,Missouri,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
88,2020-01-23,Montana,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
89,2020-01-23,Nebraska,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
90,2020-01-23,Nevada,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
91,2020-01-23,New Hampshire,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
92,2020-01-23,New Jersey,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
93,2020-01-23,New Mexico,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
94,2020-01-23,New York,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
95,2020-01-23,North Carolina,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
96,2020-01-23,North Dakota,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
97,2020-01-23,Northern Mariana Islands,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
98,2020-01-23,Ohio,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
99,2020-01-23,Oklahoma,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
100,2020-01-23,Oregon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
101,2020-01-23,Pennsylvania,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
102,2020-01-23,Puerto Rico,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
103,2020-01-23,Rhode Island,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
104,2020-01-23,South Carolina,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
105,2020-01-23,South Dakota,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
106,2020-01-23,Tennessee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
107,2020-01-23,Texas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
108,2020-01-23,Utah,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
109,2020-01-23,Vermont,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
110,2020-01-23,Virgin Islands,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
111,2020-01-23,Virginia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
112,2020-01-23,Washington,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
113,2020-01-23,West Virginia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
114,2020-01-23,Wisconsin,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,,
