,Date,Province/State,Total cases,Total cases per million,New cases,css_per_prsn,New cases per week,log10(Total cases),log10(New cases per week),Slope of power-law,Acceleration of power-law,Growth Rate,Days since first case,Average Growth Rate,Doubling time
55,2020-01-28,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6,,
56,2020-01-29,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
57,2020-01-29,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
58,2020-01-29,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
59,2020-01-29,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
60,2020-01-29,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
61,2020-01-29,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
62,2020-01-29,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
63,2020-01-29,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7,,
64,2020-01-30,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
65,2020-01-30,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
66,2020-01-30,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
67,2020-01-30,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
68,2020-01-30,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
69,2020-01-30,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
70,2020-01-30,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
71,2020-01-30,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8,,
72,2020-01-31,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
73,2020-01-31,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
74,2020-01-31,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
75,2020-01-31,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
76,2020-01-31,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
77,2020-01-31,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
78,2020-01-31,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
79,2020-01-31,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9,,
80,2020-02-01,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
81,2020-02-01,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
82,2020-02-01,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
83,2020-02-01,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
84,2020-02-01,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
85,2020-02-01,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
86,2020-02-01,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
87,2020-02-01,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10,,
88,2020-02-02,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
89,2020-02-02,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
