,Date,Province/State,indicator,value,Days
111,2020-01-23,Australian Capital Territory,Slope of power-law,0.0,1
112,2020-01-23,Australian Capital Territory,Acceleration of power-law,0.0,1
113,2020-01-23,Australian Capital Territory,Growth Rate,0.0,1
114,2020-01-23,Australian Capital Territory,Days since first case,1.0,1
115,2020-01-23,Australian Capital Territory,Average Growth Rate,0.0,1
116,2020-01-23,Australian Capital Territory,Doubling time,0.0,1
117,2020-01-23,New South Wales,Total cases,0.0,1
118,2020-01-23,New South Wales,Total cases per million,0.0,1
119,2020-01-23,New South Wales,New cases,0.0,1
120,2020-01-23,New South Wales,css_per_prsn,0.0,1
121,2020-01-23,New South Wales,New cases per week,0.0,1
122,2020-01-23,New South Wales,log10(Total cases),0.0,1
123,2020-01-23,New South Wales,log10(New cases per week),0.0,1
124,2020-01-23,New South Wales,Slope of power-law,0.0,1
125,2020-01-23,New South Wales,Acceleration of power-law,0.0,1
126,2020-01-23,New South Wales,Growth Rate,0.0,1
127,2020-01-23,New South Wales,Days since first case,1.0,1
128,2020-01-23,New South Wales,Average Growth Rate,0.0,1
129,2020-01-23,New South Wales,Doubling time,0.0,1
130,2020-01-23,Northern Territory,Total cases,0.0,1
131,2020-01-23,Northern Territory,Total cases per million,0.0,1
132,2020-01-23,Northern Territory,New cases,0.0,1
133,2020-01-23,Northern Territory,css_per_prsn,0.0,1
134,2020-01-23,Northern Territory,New cases per week,0.0,1
135,2020-01-23,Northern Territory,log10(Total cases),0.0,1
136,2020-01-23,Northern Territory,log10(New cases per week),0.0,1
137,2020-01-23,Northern Territory,Slope of power-law,0.0,1
138,2020-01-23,Northern Territory,Acceleration of power-law,0.0,1
139,2020-01-23,Northern Territory,Growth Rate,0.0,1
140,2020-01-23,Northern Territory,Days since first case,1.0,1
141,2020-01-23,Northern Territory,Average Growth Rate,0.0,1
142,2020-01-23,Northern Territory,Doubling time,0.0,1
143,2020-01-23,Queensland,Total cases,0.0,1
144,2020-01-23,Queensland,Total cases per million,0.0,1
145,2020-01-23,Queensland,New cases,0.0,1
146,2020-01-23,Queensland,css_per_prsn,0.0,1
147,2020-01-23,Queensland,New cases per week,0.0,1
148,2020-01-23,Queensland,log10(Total cases),0.0,1
149,2020-01-23,Queensland,log10(New cases per week),0.0,1
150,2020-01-23,Queensland,Slope of power-law,0.0,1
151,2020-01-23,Queensland,Acceleration of power-law,0.0,1
152,2020-01-23,Queensland,Growth Rate,0.0,1
153,2020-01-23,Queensland,Days since first case,1.0,1
154,2020-01-23,Queensland,Average Growth Rate,0.0,1
155,2020-01-23,Queensland,Doubling time,0.0,1
156,2020-01-23,South Australia,Total cases,0.0,1
157,2020-01-23,South Australia,Total cases per million,0.0,1
158,2020-01-23,South Australia,New cases,0.0,1
159,2020-01-23,South Australia,css_per_prsn,0.0,1
160,2020-01-23,South Australia,New cases per week,0.0,1
161,2020-01-23,South Australia,log10(Total cases),0.0,1
162,2020-01-23,South Australia,log10(New cases per week),0.0,1
163,2020-01-23,South Australia,Slope of power-law,0.0,1
164,2020-01-23,South Australia,Acceleration of power-law,0.0,1
165,2020-01-23,South Australia,Growth Rate,0.0,1
166,2020-01-23,South Australia,Days since first case,1.0,1
167,2020-01-23,South Australia,Average Growth Rate,0.0,1
168,2020-01-23,South Australia,Doubling time,0.0,1
169,2020-01-23,Tasmania,Total cases,0.0,1
170,2020-01-23,Tasmania,Total cases per million,0.0,1
171,2020-01-23,Tasmania,New cases,0.0,1
172,2020-01-23,Tasmania,css_per_prsn,0.0,1
173,2020-01-23,Tasmania,New cases per week,0.0,1
174,2020-01-23,Tasmania,log10(Total cases),0.0,1
175,2020-01-23,Tasmania,log10(New cases per week),0.0,1
176,2020-01-23,Tasmania,Slope of power-law,0.0,1
177,2020-01-23,Tasmania,Acceleration of power-law,0.0,1
178,2020-01-23,Tasmania,Growth Rate,0.0,1
179,2020-01-23,Tasmania,Days since first case,1.0,1
180,2020-01-23,Tasmania,Average Growth Rate,0.0,1
181,2020-01-23,Tasmania,Doubling time,0.0,1
182,2020-01-23,Victoria,Total cases,0.0,1
183,2020-01-23,Victoria,Total cases per million,0.0,1
184,2020-01-23,Victoria,New cases,0.0,1
185,2020-01-23,Victoria,css_per_prsn,0.0,1
186,2020-01-23,Victoria,New cases per week,0.0,1
187,2020-01-23,Victoria,log10(Total cases),0.0,1
188,2020-01-23,Victoria,log10(New cases per week),0.0,1
189,2020-01-23,Victoria,Slope of power-law,0.0,1
190,2020-01-23,Victoria,Acceleration of power-law,0.0,1
191,2020-01-23,Victoria,Growth Rate,0.0,1
192,2020-01-23,Victoria,Days since first case,1.0,1
193,2020-01-23,Victoria,Average Growth Rate,0.0,1
194,2020-01-23,Victoria,Doubling time,0.0,1
195,2020-01-23,Western Australia,Total cases,0.0,1
196,2020-01-23,Western Australia,Total cases per million,0.0,1
197,2020-01-23,Western Australia,New cases,0.0,1
198,2020-01-23,Western Australia,css_per_prsn,0.0,1
199,2020-01-23,Western Australia,New cases per week,0.0,1
200,2020-01-23,Western Australia,log10(Total cases),0.0,1
201,2020-01-23,Western Australia,log10(New cases per week),0.0,1
202,2020-01-23,Western Australia,Slope of power-law,0.0,1
203,2020-01-23,Western Australia,Acceleration of power-law,0.0,1
204,2020-01-23,Western Australia,Growth Rate,0.0,1
205,2020-01-23,Western Australia,Days since first case,1.0,1
206,2020-01-23,Western Australia,Average Growth Rate,0.0,1
207,2020-01-23,Western Australia,Doubling time,0.0,1
208,2020-01-24,Australian Capital Territory,Total cases,0.0,2
209,2020-01-24,Australian Capital Territory,Total cases per million,0.0,2
210,2020-01-24,Australian Capital Territory,New cases,0.0,2
211,2020-01-24,Australian Capital Territory,css_per_prsn,0.0,2
212,2020-01-24,Australian Capital Territory,New cases per week,0.0,2
213,2020-01-24,Australian Capital Territory,log10(Total cases),0.0,2
214,2020-01-24,Australian Capital Territory,log10(New cases per week),0.0,2
215,2020-01-24,Australian Capital Territory,Slope of power-law,0.0,2
216,2020-01-24,Australian Capital Territory,Acceleration of power-law,0.0,2
217,2020-01-24,Australian Capital Territory,Growth Rate,0.0,2
218,2020-01-24,Australian Capital Territory,Days since first case,2.0,2
219,2020-01-24,Australian Capital Territory,Average Growth Rate,0.0,2
220,2020-01-24,Australian Capital Territory,Doubling time,0.0,2
221,2020-01-24,New South Wales,Total cases,0.0,2
222,2020-01-24,New South Wales,Total cases per million,0.0,2
223,2020-01-24,New South Wales,New cases,0.0,2
224,2020-01-24,New South Wales,css_per_prsn,0.0,2
225,2020-01-24,New South Wales,New cases per week,0.0,2
226,2020-01-24,New South Wales,log10(Total cases),0.0,2
227,2020-01-24,New South Wales,log10(New cases per week),0.0,2
228,2020-01-24,New South Wales,Slope of power-law,0.0,2
229,2020-01-24,New South Wales,Acceleration of power-law,0.0,2
230,2020-01-24,New South Wales,Growth Rate,0.0,2
231,2020-01-24,New South Wales,Days since first case,2.0,2
232,2020-01-24,New South Wales,Average Growth Rate,0.0,2
233,2020-01-24,New South Wales,Doubling time,0.0,2
234,2020-01-24,Northern Territory,Total cases,0.0,2
235,2020-01-24,Northern Territory,Total cases per million,0.0,2
236,2020-01-24,Northern Territory,New cases,0.0,2
237,2020-01-24,Northern Territory,css_per_prsn,0.0,2
238,2020-01-24,Northern Territory,New cases per week,0.0,2
239,2020-01-24,Northern Territory,log10(Total cases),0.0,2
240,2020-01-24,Northern Territory,log10(New cases per week),0.0,2
241,2020-01-24,Northern Territory,Slope of power-law,0.0,2
242,2020-01-24,Northern Territory,Acceleration of power-law,0.0,2
243,2020-01-24,Northern Territory,Growth Rate,0.0,2
244,2020-01-24,Northern Territory,Days since first case,2.0,2
245,2020-01-24,Northern Territory,Average Growth Rate,0.0,2
246,2020-01-24,Northern Territory,Doubling time,0.0,2
247,2020-01-24,Queensland,Total cases,0.0,2
248,2020-01-24,Queensland,Total cases per million,0.0,2
249,2020-01-24,Queensland,New cases,0.0,2
250,2020-01-24,Queensland,css_per_prsn,0.0,2
251,2020-01-24,Queensland,New cases per week,0.0,2
252,2020-01-24,Queensland,log10(Total cases),0.0,2
253,2020-01-24,Queensland,log10(New cases per week),0.0,2
254,2020-01-24,Queensland,Slope of power-law,0.0,2
255,2020-01-24,Queensland,Acceleration of power-law,0.0,2
256,2020-01-24,Queensland,Growth Rate,0.0,2
257,2020-01-24,Queensland,Days since first case,2.0,2
258,2020-01-24,Queensland,Average Growth Rate,0.0,2
259,2020-01-24,Queensland,Doubling time,0.0,2
260,2020-01-24,South Australia,Total cases,0.0,2
261,2020-01-24,South Australia,Total cases per million,0.0,2
262,2020-01-24,South Australia,New cases,0.0,2
263,2020-01-24,South Australia,css_per_prsn,0.0,2
264,2020-01-24,South Australia,New cases per week,0.0,2
265,2020-01-24,South Australia,log10(Total cases),0.0,2
266,2020-01-24,South Australia,log10(New cases per week),0.0,2
267,2020-01-24,South Australia,Slope of power-law,0.0,2
268,2020-01-24,South Australia,Acceleration of power-law,0.0,2
269,2020-01-24,South Australia,Growth Rate,0.0,2
270,2020-01-24,South Australia,Days since first case,2.0,2
271,2020-01-24,South Australia,Average Growth Rate,0.0,2
272,2020-01-24,South Australia,Doubling time,0.0,2
273,2020-01-24,Tasmania,Total cases,0.0,2
