date,new cases NL,log(NL new cases / last week),total cases NL,log(NL Total cases),derivative NL,new cases AU,log(AU new cases / last week),total cases AU,log(AU Total cases),derivative AU,new cases DE,log(DE new cases / last week),total cases DE,log(DE Total cases),derivative DE,new cases CN,log(new cases/week CN),Total cases CN,log(total cases CN),derivative CN,new cases IT,log(new cases/week IT),total cases IT,log(total cases IT),derivative IT,new cases ES,log(new cases / week ES),total cases ES,log(total cases ES),derivative ES,new cases US,log(new cases / week US),total cases US,log(total cases US),derivative US,log(new cases / 100k / week NL),log(new cases / 100k / week AU),log(new cases / 100k / week DE),log(new cases / 100k / week CN),log(new cases / 100k / week ES),log(new cases / 100k / week IT),log(new cases / 100k / week US),log(new cases / week by pop NL),log(new cases / week by pop AU),log(new cases / week by pop DE),log(new cases / week by pop CN),log(new cases / week by pop IT),log(new cases / week by pop  ES),log(new cases / week by pop US),new_cases_2dt,total_cases_dt2,new_cases_3dt,total_cases_dt3,new_cases_4dt,total_cases_dt4,log_new_cases_2dt,log_total_cases_dt2,log_new_cases_3dt,log_total_cases_dt3,log_new_cases_4dt,log_total_cases_dt4,number of says since day 0,,,,au_pop,24000000,num 100k in au,240
4/2/20,,,,,,,,,,,,,,,,3884,4.26,24324,4.39,1.45,,,,,,,,,,,,,,,,,,,0.149692716,,,,,-10,,-4.850307284,,,,1,4,1,3,0,2,0.07,0.602059991,-0.284128552,0.401373328,-0.49729004,0.301029996,4,,,,,,,
3/2/20,,,,,,,,,,,,,,,,3235,4.2,20440,4.31,1.45,,,,,,,,,,,,,,,,,,,0.088136089,,,,,-10,,-4.911863911,,,,1,3,0,2,0,1.68,-0.08,0.451544993,-0.384471884,0.301029996,-0.572547538,0.225772497,3,,,,,,,
2/2/20,,,,,,,,,,,,,,,,2825,4.16,17205,4.24,1.63,,,,,,,,,,,,,,,,,,,0.046254974,,,,,-10,,-4.953745026,,,,1,2,0,2,0,1.41,-0.23,0.301029996,-0.484815216,0.200686664,-0.647805037,0.150514998,2,,,,,,,
1/2/20,,,,,,,,,,,,,,,,2589,4.09,14380,4.16,1.3,,,,,,,,,,,,,,,,,,,-0.020346584,,,,,-10,,-5.020346584,,,,1,1,1,1,1,1.19,0.15,0.150514998,0.100343332,0.100343332,0.075257499,0.075257499,1,,,,,,,
31/1/20,,,,,,,,,,,,,,,,2099,4.02,11791,4.07,1.33,,,,,,,,,,,,,,,,,,,-0.092588639,,,,,-10,,-5.092588639,,,,,,,,,,,,,,,,,,,,,,,
30/1/20,,,,,,,,,,,,,,,,1981,3.95,9692,3.99,1.23,,,,,,,,,,,,,,,,,,,-0.166411607,,,,,-10,,-5.166411607,,,,,,,,,,,,,,,,,,,,,,,
29/1/20,,,,,,,,,,,,,,,,1737,3.85,7711,3.89,1.15,,,,,,,,,,,,,,,,,,,-0.260245141,,,,,-10,,-5.260245141,,,,,,,,,,,,,,,,,,,,,,,
28/1/20,,,,,,,,,,,,,,,,1459,3.73,5974,3.78,1,,,,,,,,,,,,,,,,,,,-0.381308385,,,,,-10,,-5.381308385,,,,,,,,,,,,,,,,,,,,,,,
27/1/20,,,,,,,,,,,,,,,,1771,3.6,4515,3.65,1,,,,,,,,,,,,,,,,,,,-0.518006446,,,,,-10,,-5.518006446,,,,,,,,,,,,,,,,,,,,,,,
26/1/20,,,,,,,,,,,,,,,,769,3.34,2744,3.44,1,,,,,,,,,,,,,,,,,,,-0.776883626,,,,,-10,,-5.776883626,,,,,,,,,,,,,,,,,,,,,,,
25/1/20,,,,,,,,,,,,,,,,688,3.15,1975,3.3,1,,,,,,,,,,,,,,,,,,,-0.966576245,,,,,-10,,-5.966576245,,,,,,,,,,,,,,,,,,,,,,,
24/1/20,,,,,,,,,,,,,,,,457,2.85,1287,3.11,1,,,,,,,,,,,,,,,,,,,-1.25903033,,,,,-10,,-6.25903033,,,,,,,,,,,,,,,,,,,,,,,
23/1/20,,,,,,,,,,,,,,,,259,2.41,830,2.92,1,,,,,,,,,,,,,,,,,,,-1.700643588,,,,,-10,,-6.700643588,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
